instance,metric,agent_a,agent_b,mean_a,mean_b,diff,cohens_d_pooled,t_stat_pooled,p_pooled,n_seeds,p_seed_level,cohens_d_seed_level,significant_hb_pooled,significant_hb_seed_level
"RS[7,8]",Bad,POMCP (256 sims),POMCP (4096 sims),0.112,0.058,0.054,0.1894930289616802,2.996147861215805,0.0028089461570076,5,0.0176298046651024,1.8857617985778616,True,False
"RS[7,8]",Bad,POMCP (1024 sims),POMCP (4096 sims),0.11,0.058,0.052,0.1881037420664709,2.974181306654381,0.0030141110518886,5,0.0216731212717161,1.7995342045355551,True,False
"RS[11,11]",Reward,Rollout only (approach),POMCP (256 sims),28.658,-1.325,29.983,1.7043392193234363,26.9479691930766,2.4438207774056663e-120,5,2.1803439296922024e-08,14.528477915015696,True,True
"RS[11,11]",Reward,Rollout only (approach),POMCP (1024 sims),28.658,12.033,16.625,1.3304705269152075,21.03658612388207,1.3275159670226034e-74,5,8.825563560118484e-06,11.984234891414902,True,True
"RS[11,11]",Reward,Rollout only (approach),POMCP (4096 sims),28.658,13.136,15.522000000000002,1.256733479375521,19.870701033074447,8.04356057419647e-68,5,3.158695482936333e-05,11.621791444038776,True,True
"RS[11,11]",Reward,POMCP (256 sims),POMCP (1024 sims),-1.325,12.033,-13.358,-0.974182582275965,-15.403179084282144,2.3961859336270905e-45,5,8.780660530973215e-05,-8.081137190204245,True,True
"RS[11,11]",Reward,POMCP (256 sims),POMCP (4096 sims),-1.325,13.136,-14.461,-1.0648397486279289,-16.836594743727062,4.571554290849944e-52,5,0.000106832639072,-8.982611367689996,True,True
"RS[11,11]",Reward,POMCP (1024 sims),POMCP (4096 sims),12.033,13.136,-1.1029999999999998,-0.197836392341741,-3.1280680193529724,0.0018112831579162,5,0.0132587172960792,-2.1751151238638045,True,True
"RS[11,11]",Bad,Rollout only (approach),POMCP (256 sims),0.228,0.046,0.182,0.5123155910057922,8.100420741967886,2.4331602967241745e-15,5,2.316294139027371e-05,6.24254849918732,True,True
"RS[11,11]",Bad,Rollout only (approach),POMCP (1024 sims),0.228,0.026,0.202,0.5907953128960574,9.34129409851695,1.6960259769733392e-19,5,9.830209547772534e-05,8.079999999999998,True,True
