env,budget_kind,budget,curve_monotone,reference_envelope_at_B,reference_envelope_support,frontier_interp_at_B,policy,w_lo,w_hi,q,w,heldout_usage,heldout_usage_se,heldout_reward,heldout_reward_se,usage_error,feasible_in_expectation,gap_to_reference,gap_to_frontier_interp,note,per_seed_usage,per_seed_reward,seed_list,episodes_per_seed,git_sha,generated_utc
Diagnosis,interior_0.5,9.533999999999999,True,-1.3541110340041638,lam=0.05:U=9.785:R=-1.265:q=0.9346|lam=1.046:U=5.943:R=-2.623:q=0.0654,-1.5329886039886045,best_feasible_mixture,0.0,0.31622776601683794,0.9384694932781797,,9.472,0.2031354228095139,-2.1119999999999997,0.6656004807690571,0.06199999999999939,True,-0.7578889659958359,-0.5790113960113952,"support w=0,0.3162 q_b=0.9385 cal_reward=-1.5610 cal_usage=9.5340",9.6600|9.2000|10.1800|9.0600|9.2600,-2.0600|-1.6000|-4.3800|-0.2600|-2.2600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.75,11.348999999999998,True,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,,mixture,19.306977288832496,43.93970560760795,0.4649174528301885,,11.471999999999998,0.37291285845355343,-2.312,0.4512471606558871,0.12299999999999933,False,-1.0466666666666666,,,11.9600|11.0800|12.7000|10.7600|10.8600,-1.9600|-1.6800|-3.9000|-1.3600|-2.6600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.75,11.348999999999998,True,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,,endpoint_lo,19.306977288832496,43.93970560760795,,19.306977288832496,9.696000000000002,0.20624257562394824,-2.216,0.6837952910045519,1.652999999999997,True,-0.950666666666667,,,9.9200|9.4000|10.3800|9.2200|9.5600,-1.7200|-1.8000|-4.5800|-0.4200|-2.5600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.75,11.348999999999998,True,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,,endpoint_hi,19.306977288832496,43.93970560760795,,43.93970560760795,13.34,0.3204372013359248,-3.5799999999999996,0.3866264346885762,1.9910000000000014,False,-2.3146666666666667,,,13.4600|13.0600|14.5000|12.6000|13.0800,-3.4600|-3.0600|-5.1000|-3.2000|-3.0800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.75,11.348999999999998,True,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,,best_feasible_member,19.306977288832496,43.93970560760795,,0.31622776601683794,9.696000000000002,0.20624257562394824,-2.216,0.6837952910045519,1.652999999999997,True,-0.950666666666667,,,9.9200|9.4000|10.3800|9.2200|9.5600,-1.7200|-1.8000|-4.5800|-0.4200|-2.5600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.75,11.348999999999998,True,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,,best_target_mixture,0.31622776601683794,43.93970560760795,0.4649174528301885,,11.471999999999998,0.37291285845355343,-2.312,0.4512471606558871,0.12299999999999933,False,-1.0466666666666666,,"support w=0.3162,43.94 q_b=0.4649 cal_reward=-2.4711 cal_usage=11.3490",11.9600|11.0800|12.7000|10.7600|10.8600,-1.9600|-1.6800|-3.9000|-1.3600|-2.6600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,interior_0.75,11.348999999999998,True,-1.2653333333333332,lam=0.05:U=9.785:R=-1.265:q=1.0000,,best_feasible_mixture,19.306977288832496,43.93970560760795,,0.31622776601683794,9.696000000000002,0.20624257562394824,-2.216,0.6837952910045519,1.652999999999997,True,-0.950666666666667,,"support w=0.3162,0.3162 q_b=0.0000 cal_reward=-1.4520 cal_usage=9.7720",9.9200|9.4000|10.3800|9.2200|9.5600,-1.7200|-1.8000|-4.5800|-0.4200|-2.5600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,gap,7.838,True,-1.9531839000693962,lam=0.05:U=9.785:R=-1.265:q=0.4932|lam=1.046:U=5.943:R=-2.623:q=0.5068,-2.0475868945868947,mixture,0.13894954943731375,0.31622776601683794,0.5,,7.856,0.2518253362948215,-2.056,0.4709734599741264,0.017999999999999794,False,-0.10281609993060381,-0.00841310541310536,,7.8600|7.4800|8.7600|7.3000|7.8800,-2.6600|-1.6800|-3.5600|-0.9000|-1.4800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,gap,7.838,True,-1.9531839000693962,lam=0.05:U=9.785:R=-1.265:q=0.4932|lam=1.046:U=5.943:R=-2.623:q=0.5068,-2.0475868945868947,endpoint_lo,0.13894954943731375,0.31622776601683794,,0.13894954943731375,5.9,0.15231546211727823,-2.8600000000000003,0.4275511665286389,1.9379999999999997,True,-0.9068160999306041,-0.8124131054131056,,6.0000|5.6400|6.4200|5.5600|5.8800,-3.8000|-2.2400|-3.0200|-1.5600|-3.6800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,gap,7.838,True,-1.9531839000693962,lam=0.05:U=9.785:R=-1.265:q=0.4932|lam=1.046:U=5.943:R=-2.623:q=0.5068,-2.0475868945868947,endpoint_hi,0.13894954943731375,0.31622776601683794,,0.31622776601683794,9.696000000000002,0.20624257562394824,-2.216,0.6837952910045519,1.8580000000000014,False,-0.26281609993060395,-0.1684131054131055,,9.9200|9.4000|10.3800|9.2200|9.5600,-1.7200|-1.8000|-4.5800|-0.4200|-2.5600,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
Diagnosis,gap,7.838,True,-1.9531839000693962,lam=0.05:U=9.785:R=-1.265:q=0.4932|lam=1.046:U=5.943:R=-2.623:q=0.5068,-2.0475868945868947,best_feasible_member,0.13894954943731375,0.31622776601683794,,0.0,5.9,0.15231546211727823,-2.8600000000000003,0.4275511665286389,1.9379999999999997,True,-0.9068160999306041,-0.8124131054131056,,6.0000|5.6400|6.4200|5.5600|5.8800,-3.8000|-2.2400|-3.0200|-1.5600|-3.6800,7|8|9|10|11,100,08140f0,2026-09-18T16:49:32Z
